Smiles,SPS,nSPS
C=CCSS(=O)CC=C,112,12.444444444444445
c1cncc([C@@H]2CCCCN2)c1,286,23.833333333333332
Cc1ccc(C(C)C)cc1O,116,10.545454545454545
C=C(C)[C@H]1CC=C(C)CC1,258,25.8
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,800,44.44444444444444
CN1CCC[C@H]1c1cccnc1,295,24.583333333333332
c1cncc([C@@H]2CCCN2)c1,262,23.818181818181817
O=C1CCC[C@@H]2[C@H]3CCC[N+]4([O-])CCC[C@@H](CN12)[C@@H]34,941,49.526315789473685
C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,670,29.130434782608695
C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,724,27.846153846153847
CC/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,682,28.416666666666668
CC/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,736,27.25925925925926
C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,677,28.208333333333332
C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,731,27.074074074074073
CC1(C)[C@H]2O[C@H]2[C@H]2[C@](C)(O)[C@@H]3CC[C@@H]4[C@@H](O)[C@@]3(C[C@@H](O)[C@@]21O)C[C@@]4(C)O,1767,67.96153846153847
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,679,23.413793103448278
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,369,14.76
CC(C)[C@]12O[C@H]1[C@@H]1O[C@@]13[C@@]1(C)CCC4=C(COC4=O)[C@@H]1C[C@@H]1O[C@@]13[C@@H]2O,1641,63.11538461538461
CN=C(O)Oc1cccc2c1OC(C)(C)O2,251,15.6875
CN=C(O)Oc1cccc2ccccc12,149,9.933333333333334
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,408,14.571428571428571
CN=C(O)Oc1cccc2c1OC(C)(C)C2,259,16.1875
CN=C(O)ON=CC(C)(C)SC,124,10.333333333333334
CN=C(O)ON=CC(C)(C)S(C)(=O)=O,164,11.714285714285714
CN=C(O)ON=C(C)C(C)SC,140,11.666666666666666
CN=C(O)ON=C(C)C(C)S(C)(=O)=O,180,12.857142857142858
CN=C(O)ON=C(C)SC,83,8.3
CN=C(O)ON=CC(C)(C)CCC#N,138,9.857142857142858
CN=C(O)ON=C(SC)C(=O)N(C)C,124,8.857142857142858
CN=C(O)ON=C1SC(C)(C)C(=O)N1C,286,19.066666666666666
CN=C(O)ON=C(C)SCCC#N,109,8.384615384615385
CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,198,9.428571428571429
CN=C(O)ON=C(CSC)C(C)(C)C,149,10.642857142857142
C=CCN(CC=C)c1c(C)cc(OC(O)=NC)cc1C,195,9.75
CN=C(O)Oc1ccc(N(C)C)c(C)c1,144,9.6
