SMILES,Input_SMILES,Tanimoto,NLL
Brc1c(NC2=NCCN2)ccc2nccnc12,Brc1c(NC2=NCCN2)ccc2nccnc12,1.0,0.69
Clc1c(NC2=NCCN2)ccc2nccnc12,Brc1c(NC2=NCCN2)ccc2nccnc12,0.7857142857142857,0.73
Oc1c(NC2=NCCN2)ccc2nccnc12,Brc1c(NC2=NCCN2)ccc2nccnc12,1.0,5.79
Ic1c(NC2=NCCN2)ccc2nccnc12,Brc1c(NC2=NCCN2)ccc2nccnc12,0.7857142857142857,6.06
C#CC(O)(/C=C/Cl)CC,C#CC(O)(/C=C/Cl)CC,0.7857142857142857,0.32
CCC(O)(/C=C/Cl)CC,C#CC(O)(/C=C/Cl)CC,1.0,2.55
C#CC(O)(/C=C/Cl)CCC,C#CC(O)(/C=C/Cl)CC,0.4375,2.92
CCCC(O)(/C=C/Cl)CC,C#CC(O)(/C=C/Cl)CC,0.6896551724137931,4.51
C#CC1(OC(N)=O)CCCCC1,C#CC1(OC(N)=O)CCCCC1,-1,0.01
CCCC1(OC(N)=O)CCCCC1,C#CC1(OC(N)=O)CCCCC1,0.4,5.24
CC#CC1(OC(N)=O)CCCCC1,C#CC1(OC(N)=O)CCCCC1,1.0,6.28
C#CC1(OC(N)=O)CCSCC1,C#CC1(OC(N)=O)CCCCC1,0.5,6.41
C=CC1(OC(N)=O)CCCCC1,C#CC1(OC(N)=O)CCCCC1,0.6829268292682927,6.46
C#CCN(C)Cc1ccccc1,C#CCN(C)Cc1ccccc1,0.5714285714285714,0.01
C#CCN(C)CCc1ccccc1,C#CCN(C)Cc1ccccc1,0.5348837209302325,5.88
CC#CCN(C)Cc1ccccc1,C#CCN(C)Cc1ccccc1,1.0,6.12
C=CCN(C)Cc1ccccc1,C#CCN(C)Cc1ccccc1,0.7317073170731707,6.61
C#CCCN(C)Cc1ccccc1,C#CCN(C)Cc1ccccc1,0.6904761904761905,6.75
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.6190476190476191,0.26
C/C(=C\c1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.7317073170731707,2.88
CC(=O)Nc1ccccc1/C=C(\C)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1.0,3.5
CC(=O)NC(C)(C)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.7894736842105263,4.2
CC(=O)Nc1ccccc1/C=C/CN1CCN(C(c2ccccc2)c2ccccc2)CC1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.6216216216216216,4.84
C(COCCOCC1CO1)OCCOCC1CO1,C(COCCOCC1CO1)OCCOCC1CO1,0.5480769230769231,0.17
C(COCC1CO1)OCOCCOCC1CO1,C(COCCOCC1CO1)OCCOCC1CO1,0.7450980392156863,2.23
CC(COCCOCC1CO1)OCCOCC1CO1,C(COCCOCC1CO1)OCCOCC1CO1,1.0,4.52
C(#COCCOCC1CO1)COCC1CO1,C(COCCOCC1CO1)OCCOCC1CO1,0.8035714285714286,4.83
C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,0.6825396825396826,0.27
C/C(=N\O)c1ccc(OCC(=O)N2CCOCC2)cc1,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,0.53125,2.29
CC(=NO)c1ccc(OCC(=O)N2CCCCC2)cc1,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,-1,3.11
CO/N=C(\C)c1ccc(OCC(=O)N2CCCCC2)cc1,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,1.0,3.79
CC(=NO)c1ccc(OC(C)C(=O)N2CCCCC2)cc1,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,0.7272727272727273,4.51
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,1.0,0.96
C/C(O)=C(\C#N)C(=O)Nc1ccc(Cl)cc1,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0.8,1.3
