SMILES,Input_SMILES,Tanimoto,NLL
c1cncc([C@@H]2CCCCN2)c1,c1cncc([C@@H]2CCCCN2)c1,1.0,0.32
c1cncc([C@H]2CCCCN2)c1,c1cncc([C@@H]2CCCCN2)c1,1.0,2.19
c1cncc([C@@H]2CCCN2)c1,c1cncc([C@@H]2CCCCN2)c1,1.0,2.89
Cc1cncc([C@@H]2CCCCN2)c1,c1cncc([C@@H]2CCCCN2)c1,0.574468085106383,4.34
Clc1cncc([C@@H]2CCCCN2)c1,c1cncc([C@@H]2CCCCN2)c1,0.574468085106383,4.39
Cc1ccc(C(C)C)cc1O,Cc1ccc(C(C)C)cc1O,1.0,0.26
COc1ccc(C(C)C)cc1O,Cc1ccc(C(C)C)cc1O,0.6486486486486487,2.29
COc1ccc(C(C)C)cc1C(C)C,Cc1ccc(C(C)C)cc1O,0.43478260869565216,3.65
CC(C)c1ccc(C(C)C)c(O)c1,Cc1ccc(C(C)C)cc1O,0.6153846153846154,3.68
C=C(C)[C@H]1CC=C(C)CC1,C=C(C)[C@H]1CC=C(C)CC1,1.0,0.74
C=C(C)C1CC=C(C)CC1,C=C(C)[C@H]1CC=C(C)CC1,1.0,1.28
C=C(C)[C@@H]1CC=C(C)CC1,C=C(C)[C@H]1CC=C(C)CC1,1.0,2.41
C=C(C)c1ccc(C)cc1,C=C(C)[C@H]1CC=C(C)CC1,1.0,3.89
CC1=CC[C@H](C(C)=C(C)C)CC1,C=C(C)[C@H]1CC=C(C)CC1,0.2833333333333333,3.98
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,0.5945945945945946,0.18
O=C1CCC[C@@H]2[C@H]3CCC[N+]4([O-])CCC[C@@H](CN12)[C@@H]34,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,1.0,4.33
O=C1CCCC2=C3CCCN4CCC[C@@H](CN12)[C@@H]34,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,0.5882352941176471,4.64
O=C1CCC[C@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,0.4520547945205479,4.73
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@H](CN12)[C@@H]34,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,1.0,4.86
CN1CCC[C@H]1c1cccnc1,CN1CCC[C@H]1c1cccnc1,1.0,0.73
CN1CCCC1c1cccnc1,CN1CCC[C@H]1c1cccnc1,1.0,1.04
CN1CCC[C@@H]1c1cccnc1,CN1CCC[C@H]1c1cccnc1,1.0,2.56
c1cncc(C2CCCN2)c1,CN1CCC[C@H]1c1cccnc1,1.0,4.84
c1cncc([C@H]2CCCN2)c1,c1cncc([C@@H]2CCCN2)c1,1.0,1.86
