SMILES,Input_SMILES,Tanimoto,NLL
Brc1c(NC2=NCCN2)ccc2nccnc12,Brc1c(NC2=NCCN2)ccc2nccnc12,1,0.32
Clc1c(NC2=NCCN2)ccc2nccnc12,Brc1c(NC2=NCCN2)ccc2nccnc12,0.785714286,1.46
Cc1c(NC2=NCCN2)ccc2nccnc12,Brc1c(NC2=NCCN2)ccc2nccnc12,1,5.54
Clc1cnc2ccc(NC3=NCCN3)cc2n1,Brc1c(NC2=NCCN2)ccc2nccnc12,0.785714286,5.87
C#CC(O)(/C=C/Cl)CC,C#CC(O)(/C=C/Cl)CC,0.470588235,0
C#CC(O)(/C=C/Br)CC,C#CC(O)(/C=C/Cl)CC,1,7.35
C#CC(O)(/C=C/N)CC,C#CC(O)(/C=C/Cl)CC,0.642857143,8.03
C#CC1(OC(N)=O)CCCCC1,C#CC1(OC(N)=O)CCCCC1,0.642857143,0
N#CC1(OC(N)=O)CCCCC1,C#CC1(OC(N)=O)CCCCC1,-1,9.03
C=CC1(OC(N)=O)CCCCC1,C#CC1(OC(N)=O)CCCCC1,-1,9.39
C#CC1(OC(N)=O)[CH]CCCC1,C#CC1(OC(N)=O)CCCCC1,1,10.62
C#CC1(OC(N)=S)CCCCC1,C#CC1(OC(N)=O)CCCCC1,0.736842105,11.6
C#CCN(C)Cc1ccccc1,C#CCN(C)Cc1ccccc1,0.534883721,0
C=CCN(C)Cc1ccccc1,C#CCN(C)Cc1ccccc1,0.5,8.73
C#CCNCc1ccccc1,C#CCN(C)Cc1ccccc1,0.736842105,8.88
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1,0.03
C/C(=C\c1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.619047619,4.77
c1ccc(CCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.534883721,6.21
CC(C)(C)Oc1ccc(/C=C/CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-1,6.84
CC(=O)Nc1ccccc1/C=C/CN1CCN(C(c2ccccc2)c2ccccc2)CC1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1,7.26
C(COCCOCC1CO1)OCCOCC1CO1,C(COCCOCC1CO1)OCCOCC1CO1,1,0.01
c1ccc(COCCOCC2CO2)c(COCCOCC2CO2)c1,C(COCCOCC1CO1)OCCOCC1CO1,0.789473684,5.85
CC(COCCOCC1CO1)OCCOCC1CO1,C(COCCOCC1CO1)OCCOCC1CO1,0.731958763,5.85
c1ccc(COCCOCC2CO2)cc1,C(COCCOCC1CO1)OCCOCC1CO1,0.714285714,5.97
C[C@@H](COCCOCC1CO1)OCCOCC1CO1,C(COCCOCC1CO1)OCCOCC1CO1,0.745098039,6.45
C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,1,0.05
C/C(=N\O)c1ccc(OCC(=O)N2CCOCC2)cc1,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,0.605263158,3.78
C=C(O)c1ccc(OCC(=O)N2CCCCC2)cc1,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,0.682539683,4.76
CO/N=C(\C)c1ccc(OCC(=O)N2CCCCC2)cc1,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,0.333333333,5.02
CC(=O)c1ccc(OCC(=O)N2CCCCC2)cc1,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,0.682539683,5.34
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,1,0.18
C/C(O)=C(\C#N)C(=O)Nc1ccc(Cl)cc1,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0.727272727,2.63
C/C(O)=C(\C#N)C(=O)Nc1ccc([N+](=O)[O-])cc1,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0.761904762,3.43
C/C(O)=C(\C#N)C(=O)Nc1ccc(OC(F)(F)F)cc1,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0.8,3.92
C/C(O)=C(\C#N)C(=O)Nc1ccc(Cl)c(Cl)c1,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0.790322581,4.27
C/C=C/C(=O)N(CC)c1ccccc1C,C/C=C/C(=O)N(CC)c1ccccc1C,1,0.02
C=C/C=C/C(=O)N(CC)c1ccccc1C,C/C=C/C(=O)N(CC)c1ccccc1C,0.660714286,5.47
CCN(C(=O)/C=C/CCl)c1ccccc1OC,C/C=C/C(=O)N(CC)c1ccccc1C,0.606557377,5.83
COc1ccccc1N(C)C(=O)/C=C/CCl,C/C=C/C(=O)N(CC)c1ccccc1C,0.745762712,6.7
COc1ccccc1N(C=O)CC/C=C/C(=O)O,C/C=C/C(=O)N(CC)c1ccccc1C,0.507936508,8.34
C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,1,0.02
C[C@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,0.734693878,4.19
C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CNC(=O)CN,C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,0.543859649,7.69
C[C@@]12C(=O)OC(=O)[C@]1(C)[C@H]1CC[C@@H]2O1,C[C@@]12C(=O)OC(=O)[C@]1(C)[C@H]1CC[C@@H]2O1,0.416666667,0.06
C[C@@]12C(=O)OC(=O)[C@@]1(C)[C@H]1CC[C@@H]2O1,C[C@@]12C(=O)OC(=O)[C@]1(C)[C@H]1CC[C@@H]2O1,0.338235294,3.67
