target,number_of_steps,top_score,is_solved,reactants_smiles
[AsH3],0,0.0491006895,False,[AsH3]
[Br-].[K+],0,0.0491006895,False,[Br-].[K+]
[Br-].[Na+],0,0.0491006895,False,[Br-].[Na+]
[Ca+2].[H-].[H-],0,0.0491006895,False,[Ca+2].[H-].[H-]
[Ca+2].[OH-].[OH-],0,0.0491006895,False,[Ca+2].[OH-].[OH-]
[Cl-].[Cl-].[Mg+2],0,0.0491006895,False,[Cl-].[Cl-].[Mg+2]
[Cl-].[Cl-].[Zn+2],0,0.0491006895,False,[Cl-].[Cl-].[Zn+2]
[Kr],0,0.0491006895,False,[Kr]
[O-2].[Zn+2],0,0.0491006895,False,[O-2].[Zn+2]
Brc1c(NC2=NCCN2)ccc2nccnc12,1,0.9976287063,True,"Nc1ccc2nccnc2c1Br, O=S(=O)(O)C1=NCCN1"
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,7,0.7148712937,False,"OCCO, CC(=O)OC(C)=O, OCCO,C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C[Si](C)(C)C)[C@H]12"
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,7,0.7148712937,False,"OCCO, CC(=O)OC(C)=O, OCCO,C[C@]12CC[C@@H]3C4=C(CC[C@H]3[C@@H]1CC[C@@]2(O)C#C[Si](C)(C)C)CC(=O)CC4"
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,3,0.5115529289,False,"CNOC,CC[C@]12CC[C@H]3[C@@H](CCC4=C/C(=N/O)CC[C@@H]43)[C@@H]1CC[C@@]2(O)C(=O)O"
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,7,0.6357046270000001,False,"OCCO, OCCO,C=C1C[C@@]2(CC)[C@@H](CC[C@@]2(O)CO)[C@@H]2CCC(=O)[C@H](CCC(=O)C[P+](c3ccccc3)(c3ccccc3)c3ccccc3)[C@@H]12"
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,4,0.6583333333,False,"OCCO, CC(=O)OC(C)=O,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4(S(=O)(=O)c5ccccc5)CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C"
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,5,0.6467804044000001,False,"CC(=O)OC(C)=O, OCCO,CC[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C[Si](C)(C)C"
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,2,0.5190398539000001,False,"CCOCC,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=O)C[C@@]21CC"
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,6,0.6392934794,False,"CC(=O)OC(C)=O, BrCc1ccccc1,CC(C)[Si](C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C)(C(C)C)C(C)C"
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,4,0.6583333333,False,"OC1CCCC1, CC(=O)OC(C)=O,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C[Si](C)(C)C"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,0,0.0491006895,False,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,6,0.7184601461,False,"CC(=O)OC(C)=O, CC(=O)OC(C)=O, CC(=O)OC(C)=O,CC(C)(C)[Si](C)(C)O[C@@]1(C#C[Si](C)(C)C)CC[C@H]2[C@@H]3CCC4=C[C@@H](O)CC[C@@H]4[C@H]3CC[C@@]21C"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,4,0.6583333333,False,"CC(=O)OC(C)=O, OCCO,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@]2(O)C#C[Si](C)(C)C"
C#CC(O)(/C=C/Cl)CC,1,0.9976287063,True,"CCC(=O)/C=C/Cl, C1CCOC1"
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,6,0.7184601461,False,"C1CCOC1, OCCO, OCCO,CC[C@]12CC[C@H]3[C@@H](CCC(=O)[C@@H]3CCC(=O)C[P+](c3ccccc3)(c3ccccc3)c3ccccc3)[C@@H]1CCC2=O"
C#CC1(OC(N)=O)CCCCC1,1,0.9976287063,True,"O=C=NC(=O)C(Cl)(Cl)Cl, C#CC1(O)CCCCC1"
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,6,0.7184601461,False,"OCc1ccccc1, BrCc1ccccc1, COC(=O)[C@@H](N)CCC(=O)OC(C)(C)C,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)O)cc1"
C#CCN(C)Cc1ccccc1,1,0.9976287063,True,"C#CCBr, CNCc1ccccc1"
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1,0.9976287063,True,"OC(c1ccccc1)c1ccccc1, C(=C/c1ccccc1)\CN1CCNCC1"
C(COCCOCC1CO1)OCCOCC1CO1,3,0.9865529289,True,"OC(CCl)CCl, OCCOCCOCCO, C=CCBr"
