num,target,number_of_steps,top_score,is_solved,reactants_smiles,cas_1,cas_2,cas_3,cas_4,cas_5,cas_6,cas_7
xxx_0002,c1cncc([C@@H]2CCCCN2)c1,1,0.997628706,True,O=C1CCC[C@@H](c2cccnc2)N1,,,,,,,
xxx_0003,Cc1ccc(C(C)C)cc1O,1,0.997628706,True,COc1cc(C(C)C)ccc1C,6379-73-3,,,,,,
xxx_0004,C=C(C)[C@H]1CC=C(C)CC1,1,0.997628706,True,CC1=CC[C@H](C(C)(C)O)CC1,7785-53-7,,,,,,
xxx_0005,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,1,0.997628706,True,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,,,,,,,
xxx_0006,CN1CCC[C@H]1c1cccnc1,1,0.997628706,True,CC(C)(C)OC(=O)N1CCC[C@H]1c1cccnc1,,,,,,,
xxx_0007,c1cncc([C@@H]2CCCN2)c1,1,0.997628706,True,CC(C)(C)OC(=O)N1CCC[C@H]1c1cccnc1,,,,,,,
xxx_0009,C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,3,0.986552929,True,"CC(C)=C[C@@H]1[C@@H](C(=O)Cl)C1(C)C, C#CCC1=C(C)[C@@H](O)CC1=O",,77087-34-4,,,,,
xxx_0011,CC/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,4,0.975,True,"CC(C)=C[C@@H]1[C@@H](C(=O)Cl)C1(C)C, C#CCC1=C(C)[C@@H](O)CC1=O",,77087-34-4,,,,,
xxx_0019,CN=C(O)Oc1cccc2c1OC(C)(C)O2,2,0.994039854,True,"COC(C)(C)OC, CN=C(O)Oc1cccc(O)c1",77-76-9,,,,,,
xxx_0020,CN=C(O)Oc1cccc2ccccc12,2,0.994039854,True,"O=C1CCC(=O)N1Br, CN=C(O)Oc1c(C)ccc2ccccc12",3493-39-8,,,,,,
xxx_0022,CN=C(O)Oc1cccc2c1OC(C)(C)C2,1,0.997628706,True,CN=C(O)Oc1cccc2c1OC(C)(C)C2=O,,,,,,,
xxx_0023,CN=C(O)ON=CC(C)(C)SC,1,0.997628706,True,CN=C(O)ON=CC(C)(C)S(C)(=O)=O,,,,,,,
xxx_0024,CN=C(O)ON=CC(C)(C)S(C)(=O)=O,1,0.997628706,True,"CN=C(O)ON=CC(C)(C)SC, O=C(OO)c1cccc(Cl)c1",,937-14-4,,,,,
xxx_0034,C=CCN(CC=C)c1c(C)cc(OC(O)=NC)cc1C,2,0.994039854,True,"C=CCNCC=C, CN=C(O)Oc1cc(C)cc(C)c1",124-02-7,,,,,,
xxx_0035,CN=C(O)Oc1ccc(N(C)C)c(C)c1,2,0.994039854,True,CN=C(O)Oc1cccc(C)c1,,,,,,,
xxx_0036,CCC(CC)c1cccc(OC(O)=NC)c1,2,0.994039854,True,CN=C(O)Oc1cccc(C(C)C)c1,,,,,,,
xxx_0037,CN=C(O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,2,0.994039854,True,"CC(C)(C)Cl, CC(C)(C)Cl, CN=C(O)Oc1ccccc1",507-20-0,507-20-0,,,,,
xxx_0038,CN=C(O)Oc1cc(C)c(C)cc1Cl,1,0.997628706,True,CN=C(O)Oc1ccc(C)c(C)c1,,,,,,,
xxx_0040,CN=C(O)Oc1ccccc1Cl,1,0.997628706,True,CN=C(O)Oc1ccccc1,,,,,,,
xxx_0041,CN=C(O)Oc1ccccc1C,1,0.997628706,True,CN=C(O)Oc1ccccc1,,,,,,,
xxx_0042,CN=C(O)Oc1ccccc1C1OCCO1,2,0.994039854,True,"OCCO, CN=C(O)Oc1ccccc1, CN(C)C=O",37221-95-7,,68-12-2,,,,
xxx_0043,CCSc1ccc(OC(O)=NC)cc1,1,0.997628706,True,CN=C(O)Oc1ccc(SC)cc1,,,,,,,
xxx_0044,CCSCc1ccccc1OC(O)=NC,3,0.986552929,True,"O=C1CCC(=O)N1Br, CCSC(C)=O, CN=C(O)Oc1ccccc1",3493-39-8,59094-77-8,,,,,
xxx_0045,CCc1cc(CC)cc(OC(O)=NC)c1,4,0.975,True,"C#C[Si](C)(C)C, CCc1cccc(OC(O)=NC)c1",1066-54-2,,,,,,
xxx_0046,CCC(C)c1ccccc1OC(O)=NC,1,0.997628706,True,CN=C(O)Oc1ccccc1C(C)C,,,,,,,
xxx_0047,CN=C(O)Oc1ccccc1C(C)C,1,0.997628706,True,"CN=C(O)Oc1ccccc1, CC(C)O",,8013-70-5,,,,,
xxx_0048,CN=C(O)Oc1cc(C)c(SC)c(C)c1,1,0.997628706,True,CN=C(O)Oc1cc(C)c(SC#N)c(C)c1,,,,,,,
xxx_0049,CN=C(O)Oc1cccc(C)c1,1,0.997628706,True,CN=C(O)Oc1ccccc1,,,,,,,
xxx_0050,CN=C(O)Oc1cc(C)c(N(C)C)c(C)c1,1,0.997628706,True,CN=C(O)Oc1ccc(N(C)C)c(C)c1,,,,,,,
