target,number_of_steps,top_score,is_solved,reactants_smiles
C=CCSS(=O)CC=C,5,0.6467804044000001,False,"O=C1CCC(=O)N1Br, CC(=O)O,C=CCS(=O)SCCC(=O)OC"
c1cncc([C@@H]2CCCCN2)c1,1,0.9976287063,True,O=C1CCC[C@@H](c2cccnc2)N1
Cc1ccc(C(C)C)cc1O,1,0.9976287063,True,COc1cc(C(C)C)ccc1C
C=C(C)[C@H]1CC=C(C)CC1,1,0.9976287063,True,CC1=CC[C@H](C(C)(C)O)CC1
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,1,0.9976287063,True,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34
CN1CCC[C@H]1c1cccnc1,1,0.9976287063,True,CC(C)(C)OC(=O)N1CCC[C@H]1c1cccnc1
c1cncc([C@@H]2CCCN2)c1,1,0.9976287063,True,CC(C)(C)OC(=O)N1CCC[C@H]1c1cccnc1
O=C1CCC[C@@H]2[C@H]3CCC[N+]4([O-])CCC[C@@H](CN12)[C@@H]34,6,0.6392934794,False,"C=CC(=O)Cl, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,C=CC[C@@H]1[C@H]2CCC[N+]3([O-])CCC(=O)[C@@H](CN1Cc1ccccc1)[C@@H]23"
C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,3,0.9865529289,True,"CC(C)=C[C@@H]1[C@@H](C(=O)Cl)C1(C)C, C#CCC1=C(C)[C@@H](O)CC1=O"
C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,5,0.7259470711,False,"C/C(=C\[C@@H]1[C@@H](C(=O)O)C1(C)C)C(=O)O, COCc1ccccc1, C#CCC1=C(C)[C@@H](O)CC1=O,CC(C)(C)[Si](C)(C)Cl"
CC/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,4,0.975,True,"CC(C)=C[C@@H]1[C@@H](C(=O)Cl)C1(C)C, C#CCC1=C(C)[C@@H](O)CC1=O"
CC/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,3,0.6698862623,False,"C/C(=C\[C@@H]1[C@@H](C(=O)O)C1(C)C)C(=O)O, COCc1ccccc1,CC/C=C\CC1=C(C)[C@@H](O[Si](C)(C)C(C)(C)C)CC1=O"
C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,4,0.7375,False,"CC(C)=C[C@@H]1[C@@H](C(=O)O)C1(C)C, C=CC=O, CC(=O)OC(C)=O,CC1=C(CC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)C[C@@H]1O"
C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,3,0.6698862623,False,"C/C(=C\[C@@H]1[C@@H](C(=O)O)C1(C)C)C(=O)O, COCc1ccccc1,C=C/C=C\CC1=C(C)[C@@H](O[Si](C)(C)C(C)(C)C)CC1=O"
CC1(C)[C@H]2O[C@H]2[C@H]2[C@](C)(O)[C@@H]3CC[C@@H]4[C@@H](O)[C@@]3(C[C@@H](O)[C@@]21O)C[C@@]4(C)O,7,0.7148712937,False,"O=C(Cl)c1ccccc1, CC(=O)OC(C)=O, CC(=O)OC(C)=O,CC1(C)[C@H]2O[C@H]2[C@H]2[C@](C)(O)[C@@H]3CC[C@@H]4[C@@H](O[Si](C)(C)C(C)(C)C)[C@@]3(C[C@@H](O)[C@@]21O)C[C@@]4(C)O"
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,5,0.4884470711,False,"BrCc1ccccc1,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(O)cc4[C@@H]2C3O[Si](C)(C)C(C)(C)C)O1"
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,6,0.6392934794,False,"ClCOCc1ccccc1, BrCc1ccccc1,C[n+]1cc2c(O)c(F)ccc2c2ccc3cc(OCCl)c(O)cc3c21"
