target,number_of_steps,top_score,is_solved,reactants_smiles,cas_1,cas_2,cas_3,cas_4,cas_5,cas_6,cas_7,cas_8,cas_9,cas_10
Clc1c(NC2=NCCN2)ccc2nccnc12,1,0.9976287063,True,"O=S(=O)(O)C1=NCCN1, Nc1ccc2nccnc2c1Cl",64205-92-1,,,,,,,,,
Cc1c(NC2=NCCN2)ccc2nccnc12,1,0.9976287063,True,c1cnc2cc(NC3=NCCN3)ccc2n1,,,,,,,,,,
Clc1cnc2ccc(NC3=NCCN3)cc2n1,2,0.9940398539,True,"O=P(Cl)(Cl)Cl, O=S(=O)(O)C1=NCCN1, Nc1ccc2ncc(=O)[nH]c2c1",10025-87-3,64205-92-1,,,,,,,,
C#CC(O)(/C=C/Br)CC,2,0.9940398539,True,"C1CCOC1, C=CC(=O)CC",77392-70-2,1629-58-9,,,,,,,,
C#CC(O)(/C=C/N)CC,2,0.9940398539,True,"C1CCOC1, CC(=O)/C=C/N",77392-70-2,,,,,,,,,
N#CC1(OC(N)=O)CCCCC1,1,0.9976287063,True,"O=C=NC(=O)C(Cl)(Cl)Cl, N#CC1(O)CCCCC1",3019-71-4,931-97-5,,,,,,,,
C=CC1(OC(N)=O)CCCCC1,1,0.9976287063,True,"O=C=NC(=O)C(Cl)(Cl)Cl, C=CC1(O)CCCCC1",3019-71-4,1940-19-8,,,,,,,,
C#CC1(OC(N)=O)[CH]CCCC1,6,0.7659601461000001,False,"BrCc1ccccc1, O=C(Cl)Cl, NC(=O)O, O=S(Cl)Cl,CC[Si](C#CC(=O)[CH]CCCCO)(CC)CC",100-39-0,75-44-5,4312-87-2,7719-09-7,,,,,,
C#CC1(OC(N)=S)CCCCC1,4,0.975,True,"C[Si](C)(C)C#CC1(O)CCCCC1, CC(C)(C)OC(N)=O",17962-22-0,4248-19-5,,,,,,,,
C=CCN(C)Cc1ccccc1,1,0.9976287063,True,C=CCN(C)C(=O)c1ccccc1,,,,,,,,,,
C#CCNCc1ccccc1,1,0.9976287063,True,"C#CCN, O=Cc1ccccc1",,100-52-7,,,,,,,,
C/C(=C\c1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,2,0.9940398539,True,"C/C(=C\c1ccccc1)CN1CCN(C=O)CC1, OC(c1ccccc1)c1ccccc1, O=S(Cl)Cl",,91-01-0,7719-09-7,,,,,,,
c1ccc(CCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,1,0.9976287063,True,"OC(c1ccccc1)c1ccccc1, c1ccc(CCCN2CCNCC2)cc1",91-01-0,55455-92-0,,,,,,,,
CC(C)(C)Oc1ccc(/C=C/CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,3,0.9865529289,True,"CC(C)(C)O, Fc1ccc(/C=C/CN2CCNCC2)cc1, OC(c1ccccc1)c1ccccc1",75-65-0,,91-01-0,,,,,,,
CC(=O)Nc1ccccc1/C=C/CN1CCN(C(c2ccccc2)c2ccccc2)CC1,3,0.9865529289,True,"CC(=O)Nc1ccccc1Br, C=CCN1CCNCC1, OC(c1ccccc1)c1ccccc1",614-76-6,13961-36-9,91-01-0,,,,,,,
c1ccc(COCCOCC2CO2)c(COCCOCC2CO2)c1,4,0.975,True,"O=C(OO)c1cccc(Cl)c1, C=CCOCCCl, OC(CCl)CCl, OCCO, OCc1ccccc1CBr",937-14-4,,27988-86-9,37221-95-7,,,,,,
CC(COCCOCC1CO1)OCCOCC1CO1,6,0.9559601461,True,"C=CCOCCCl, O=S(Cl)Cl, OCCO, OC(CCl)CCl, CC(=O)COCc1ccccc1",,7719-09-7,37221-95-7,27988-86-9,,,,,,
c1ccc(COCCOCC2CO2)cc1,1,0.9976287063,True,"C[S+](C)(C)=O, O=CCOCCOCc1ccccc1",,,,,,,,,,
C[C@@H](COCCOCC1CO1)OCCOCC1CO1,3,0.9865529289,True,"O=C(OO)c1cccc(Cl)c1, OC(CCl)CCl, C=CCBr, C[C@@H](COCCO)OCCO",937-14-4,27988-86-9,106-95-6,,,,,,,
C/C(=N\O)c1ccc(OCC(=O)N2CCOCC2)cc1,1,0.9976287063,True,"O=C(CBr)N1CCOCC1, C/C(=N\O)c1ccc(O)cc1",,,,,,,,,,
C=C(O)c1ccc(OCC(=O)N2CCCCC2)cc1,2,0.9940398539,True,"O=C(CBr)N1CCCCC1, C=C(O)c1ccccc1",,4383-15-7,,,,,,,,
CO/N=C(\C)c1ccc(OCC(=O)N2CCCCC2)cc1,1,0.9976287063,True,"CO/N=C(\C)c1ccc(OCC(=O)O)cc1, C1CCNCC1",,110-89-4,,,,,,,,
CC(=O)c1ccc(OCC(=O)N2CCCCC2)cc1,1,0.9976287063,True,"CC(=O)c1ccc(OCC(=O)O)cc1, C1CCNCC1",1878-81-5,110-89-4,,,,,,,,
C/C(O)=C(\C#N)C(=O)Nc1ccc(Cl)cc1,1,0.9976287063,True,"CCOC(=O)/C(C#N)=C(/C)O, Nc1ccc(Cl)cc1",,106-47-8,,,,,,,,
C/C(O)=C(\C#N)C(=O)Nc1ccc([N+](=O)[O-])cc1,2,0.9940398539,True,"Cc1oncc1C(=O)O, Nc1ccc([N+](=O)[O-])cc1",,38013-32-0,,,,,,,,
C/C(O)=C(\C#N)C(=O)Nc1ccc(OC(F)(F)F)cc1,2,0.9940398539,True,"Cc1oncc1C(=O)O, Nc1ccc(OC(F)(F)F)cc1",,461-82-5,,,,,,,,
C/C(O)=C(\C#N)C(=O)Nc1ccc(Cl)c(Cl)c1,2,0.9940398539,True,"Cc1oncc1C(=O)O, Nc1ccc(Cl)c(Cl)c1",,95-76-1,,,,,,,,
C=C/C=C/C(=O)N(CC)c1ccccc1C,1,0.9976287063,True,"C=C/C=C/C(=O)Cl, CCNc1ccccc1C",,1821-38-1,,,,,,,,
CCN(C(=O)/C=C/CCl)c1ccccc1OC,2,0.9940398539,True,"CCNc1ccccc1OC, O=C(O)/C=C/CCl",,16197-90-3,,,,,,,,
COc1ccccc1N(C)C(=O)/C=C/CCl,1,0.9976287063,True,"O=C(O)/C=C/CCl, CNc1ccccc1OC",16197-90-3,,,,,,,,,
COc1ccccc1N(C=O)CC/C=C/C(=O)O,7,0.9523712937,True,"CCOC(=O)CP(=O)(OCC)OCC, COc1ccccc1NC=O, CC(C)(C)[Si](C)(C)OCCCO",867-13-0,23896-88-0,,,,,,,,
C[C@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,3,0.9865529289,True,"N[C@@H](CCC(=O)O)C(=O)O, CC(C)(C)OC(=O)NCC(=O)O, COC(=O)[C@@]1(C)CCCN1",26717-13-5,4530-20-5,,,,,,,,
C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CNC(=O)CN,1,0.9976287063,True,"C[C@@]1(C(=O)O)CCCN1C(=O)CNC(=O)CN, COC(=O)[C@@H](N)CCC(=O)O",,,,,,,,,,
C[C@@]12C(=O)OC(=O)[C@@]1(C)[C@H]1CC[C@@H]2O1,1,0.9976287063,True,C[C@@]12C(=O)OC(=O)[C@@]1(C)[C@H]1C=C[C@@H]2O1,,,,,,,,,,
C[C@]12C(=O)OC(=O)[C@]1(C)[C@H]1CC[C@@H]2O1,4,0.5,False,"BrCc1ccccc1,C[C@@]1(CO)[C@@H]2CC[C@@H](O2)[C@@]1(C)C(=O)O",100-39-0,,,,,,,,,
C[C@@]12C(=O)OC(=O)[C@@H]1[C@H]1CC[C@@H]2O1,6,0.6392934794,False,"CC(=O)O, CCOS(=O)(=O)c1ccc(C)cc1,COC(=O)[C@@H]1[C@H]2CC[C@H](O2)[C@]1(C)C(=O)[O-]",157090-22-7,80-40-0,,,,,,,,
C[C@@]12C(=O)OC(=O)[C@]1(C)[C@@H]1CC[C@H]2O1,4,0.5,False,"BrCc1ccccc1,C[C@]1(CO)[C@H]2CC[C@H](O2)[C@@]1(C)C(=O)O",100-39-0,,,,,,,,,
C[C@H](Cc1ccccc1)N(C)Cc1ccccc1,1,0.9976287063,True,"BrCc1ccccc1, CN[C@H](C)Cc1ccccc1",100-39-0,33817-09-3,,,,,,,,
COc1ccccc1C[C@@H](C)N(C)Cc1ccccc1,1,0.9976287063,True,"BrCc1ccccc1, CN[C@H](C)Cc1ccccc1OC",100-39-0,,,,,,,,,
Cc1ccccc1C[C@@H](C)N(C)Cc1ccccc1,1,0.9976287063,True,"BrCc1ccccc1, CN[C@H](C)Cc1ccccc1C",100-39-0,,,,,,,,,
COc1cccc(C[C@@H](C)N(C)Cc2ccccc2)c1,2,0.9940398539,True,"COc1cccc(Br)c1, O=C1CCC(=O)N1Br, C[C@H](CO)N(C)Cc1ccccc1",2398-37-0,3493-39-8,,,,,,,,
C[C@@H](Oc1cc(-c2cnn(C3CCN(S(C)(=O)=O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,7,0.9523712937,True,"CS(=O)(=O)OS(C)(=O)=O, O=C1CCC(=O)N1Br, BrCc1ccccc1, Brc1cnn(C2CCNCC2)c1, CC(C)(O)C(C)(C)O, OB(O)B(O)O, CC(C)(O)C(C)(C)O, C[C@@H](O)c1c(Cl)ccc(F)c1Cl, O=[N+]([O-])c1ncccc1F",7143-01-3,3493-39-8,100-39-0,,52400-10-9,13675-18-8,52400-10-9,,,
C[C@@H](Oc1cc(-c2cnn(C3CCN(C(=O)OC(C)(C)C)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,5,0.9634470711,True,"CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, Brc1cnn(C2CCNCC2)c1, O=C1CCC(=O)N1Br, CC(C)(O)C(C)(C)O, OB(O)B(O)O, CC(C)(O)C(C)(C)O, C[C@@H](O)c1c(Cl)ccc(F)c1Cl, O=[N+]([O-])c1ncccc1F",24424-99-5,,3493-39-8,52400-10-9,13675-18-8,52400-10-9,,,,
CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,5,0.9634470711,True,"Brc1cnn(C2CCNCC2)c1, O=[N+]([O-])c1ncc(Br)cc1O, CC(C)(O)C(C)(C)O, CC(=O)c1c(Cl)ccc(F)c1Cl, OB(O)B(O)O, CC(C)(O)C(C)(C)O",,,52400-10-9,,13675-18-8,52400-10-9,,,,
C[C@@H](Oc1cc(-c2cnn(C3CCN(C(=O)N(C)C)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,5,0.9634470711,True,"CN(C)C(=O)Cl, Brc1cnn(C2CCNCC2)c1, O=C1CCC(=O)N1Br, CC(C)(O)C(C)(C)O, OB(O)B(O)O, CC(C)(O)C(C)(C)O, C[C@@H](O)c1c(Cl)ccc(F)c1Cl, O=[N+]([O-])c1ncccc1F",342009-25-0,,3493-39-8,52400-10-9,13675-18-8,52400-10-9,,,,
C[C@@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@H](C)N1,3,0.9865529289,True,"C[C@@H]1CNC[C@H](C)N1, OB(O)C1CC1, CCOC=C(C(=O)OCC)C(=O)OCC, Nc1ccc(F)c(F)c1",,,87-13-8,3863-11-4,,,,,,
O=C(O)c1cn(C2CC2)c2c(F)c(N3CCNCC3)c(F)cc2c1=O,3,0.9865529289,True,"C1CNCCN1, OB(O)C1CC1, O=c1cc[nH]c2c(F)c(F)c(F)cc12",8017-90-1,,,,,,,,,
Nc1c(F)c(N2CCNCC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,7,0.9523712937,True,"C1CNCCN1, NCc1ccccc1, CCOC(OCC)OCC, NC1CC1, CCOC(=O)CC(=O)OCC, O=C(Cl)c1c(F)c(F)c(F)c(F)c1F",8017-90-1,100-46-9,108055-42-1,765-30-0,145601-68-9,2251-50-5,,,,
COc1ccc(OC2CCN(c3ccc(OC[C@@]4(C)Cn5cc([N+](=O)[O-])nc5O4)cc3)CC2)cc1,2,0.9940398539,True,"COc1ccc(OC2CCNCC2)cc1, C[C@]1(CO)Cn2cc([N+](=O)[O-])nc2O1, Fc1ccc(Br)cc1",,,460-00-4,,,,,,,
Cc1cc(OC2CCN(c3ccc(OC[C@@]4(C)Cn5cc([N+](=O)[O-])nc5O4)cc3)CC2)ccc1OC(F)(F)F,3,0.9865529289,True,"C[C@]1(CO)Cn2cc([N+](=O)[O-])nc2O1, Cc1cc(F)ccc1OC(F)(F)F, OC1CCNCC1, Fc1ccc(Br)cc1",,,,460-00-4,,,,,,
Cc1ccc(OC2CCN(c3ccc(OC[C@@]4(C)Cn5cc([N+](=O)[O-])nc5O4)cc3)CC2)cc1,2,0.9940398539,True,"Cc1ccc(OC2CCNCC2)cc1, C[C@]1(CO)Cn2cc([N+](=O)[O-])nc2O1, Fc1ccc(Br)cc1",,,460-00-4,,,,,,,
C[C@@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,3,0.9865529289,True,"C[C@@]1(CO)Cn2cc([N+](=O)[O-])nc2O1, Oc1ccc(OC(F)(F)F)cc1, OC1CCNCC1, O=C1CCC(=O)CC1",,828-27-3,,637-88-7,,,,,,
CC(N)[C@H](O)c1cccc(O)c1,3,0.9865529289,True,CC(=O)[C@H](O)c1ccccc1,,,,,,,,,,
COc1cccc([C@@H](C)N)c1,1,0.9976287063,True,COc1cccc([C@@H](C)NC(=O)C(F)(F)F)c1,,,,,,,,,,
C[C@@H](N)[C@H](O)c1cccc(O)c1,1,0.9976287063,True,COc1cccc([C@@H](O)[C@@H](C)N)c1,,,,,,,,,,
COc1cccc([C@H](C)N)c1,1,0.9976287063,True,COc1cccc([C@H](C)NC(=O)C(F)(F)F)c1,,,,,,,,,,
CC(=O)c1ccc(OCc2cccc(F)c2)cc1,1,0.9976287063,True,"Fc1cccc(CBr)c1, CC(=O)c1ccc(O)cc1",456-41-7,99-93-4,,,,,,,,
C[C@@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,1,0.9976287063,True,"C[C@@H](N)C(N)=O, O=Cc1ccc(OCc2cccc(F)c2)cc1",,,,,,,,,,
COC[C@@H](NC(C)=O)C(=O)NCc1ccc(OCc2cccc(F)c2)cc1,1,0.9976287063,True,"COC[C@@H](NC(C)=O)C(=O)O, NCc1ccc(OCc2cccc(F)c2)cc1",,,,,,,,,,
CC(=O)c1cccc(OCc2cccc(F)c2)c1,1,0.9976287063,True,"Fc1cccc(CBr)c1, CC(=O)c1cccc(O)c1",456-41-7,121-71-1,,,,,,,,
C[C@@H]1[C@H](c2ccccc2)OCCN1C,1,0.9976287063,True,C[C@H]([C@@H](O)c1ccccc1)N(C)CCO,,,,,,,,,,
C[C@@H]1[C@@H](c2ccccc2)OCCN1C,1,0.9976287063,True,C[C@H]([C@H](O)c1ccccc1)N(C)CCO,,,,,,,,,,
C[C@H]1[C@@H](c2ccccc2)OCCN1C,1,0.9976287063,True,C[C@@H]([C@H](O)c1ccccc1)N(C)CCO,,,,,,,,,,
CC1C(c2ccccc2)OCCN1C,5,0.9634470711,True,"OCCBr, CCC(=O)c1ccccc1, CNC(C)=O",1867-11-4,93-55-0,79-16-3,,,,,,,
CC1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,6,0.8372101461,False,"CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, CCOC(=O)C(=O)c1csc(N)n1, O=C1c2ccccc2C(=O)N1O, [N-]=[N+]=C(c1ccccc1)c1ccccc1, CC(C)(O)C(=O)O, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,CC1[C@H](N)C(=O)N1S(=O)(=O)[O-]",24424-99-5,,524-38-9,883-40-9,27909-95-1,24424-99-5,24424-99-5,,,
C[C@@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,4,0.975,True,"C[C@@H]1[C@H](N)C(=O)N1S(=O)(=O)O, Nc1nc(C(=O)C(=O)O)cs1, BrCc1ccccc1, CC(C)(ON)C(=O)O",,,100-39-0,,,,,,,
CO/N=C(\C(=O)N[C@H]1C(=O)N(S(=O)(=O)O)[C@H]1C)c1csc(N)n1,1,0.9976287063,True,"CO/N=C(\C(=O)O)c1csc(N)n1, C[C@H]1[C@@H](N)C(=O)N1S(=O)(=O)O",,,,,,,,,,
