target,number_of_steps,top_score,is_solved,reactants_smiles
Clc1c(NC2=NCCN2)ccc2nccnc12,1,0.9976287063,True,"O=S(=O)(O)C1=NCCN1, Nc1ccc2nccnc2c1Cl"
Cc1c(NC2=NCCN2)ccc2nccnc12,1,0.9976287063,True,c1cnc2cc(NC3=NCCN3)ccc2n1
Clc1cnc2ccc(NC3=NCCN3)cc2n1,2,0.9940398539,True,"O=P(Cl)(Cl)Cl, O=S(=O)(O)C1=NCCN1, Nc1ccc2ncc(=O)[nH]c2c1"
C#CC(O)(/C=C/Br)CC,2,0.9940398539,True,"C1CCOC1, C=CC(=O)CC"
C#CC(O)(/C=C/N)CC,2,0.9940398539,True,"C1CCOC1, CC(=O)/C=C/N"
N#CC1(OC(N)=O)CCCCC1,1,0.9976287063,True,"O=C=NC(=O)C(Cl)(Cl)Cl, N#CC1(O)CCCCC1"
C=CC1(OC(N)=O)CCCCC1,1,0.9976287063,True,"O=C=NC(=O)C(Cl)(Cl)Cl, C=CC1(O)CCCCC1"
C#CC1(OC(N)=O)[CH]CCCC1,6,0.7659601461000001,False,"BrCc1ccccc1, O=C(Cl)Cl, NC(=O)O, O=S(Cl)Cl,CC[Si](C#CC(=O)[CH]CCCCO)(CC)CC"
C#CC1(OC(N)=S)CCCCC1,4,0.975,True,"C[Si](C)(C)C#CC1(O)CCCCC1, CC(C)(C)OC(N)=O"
C=CCN(C)Cc1ccccc1,1,0.9976287063,True,C=CCN(C)C(=O)c1ccccc1
C#CCNCc1ccccc1,1,0.9976287063,True,"C#CCN, O=Cc1ccccc1"
C/C(=C\c1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,2,0.9940398539,True,"C/C(=C\c1ccccc1)CN1CCN(C=O)CC1, OC(c1ccccc1)c1ccccc1, O=S(Cl)Cl"
c1ccc(CCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,1,0.9976287063,True,"OC(c1ccccc1)c1ccccc1, c1ccc(CCCN2CCNCC2)cc1"
CC(C)(C)Oc1ccc(/C=C/CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,3,0.9865529289,True,"CC(C)(C)O, Fc1ccc(/C=C/CN2CCNCC2)cc1, OC(c1ccccc1)c1ccccc1"
CC(=O)Nc1ccccc1/C=C/CN1CCN(C(c2ccccc2)c2ccccc2)CC1,3,0.9865529289,True,"CC(=O)Nc1ccccc1Br, C=CCN1CCNCC1, OC(c1ccccc1)c1ccccc1"
c1ccc(COCCOCC2CO2)c(COCCOCC2CO2)c1,4,0.975,True,"O=C(OO)c1cccc(Cl)c1, C=CCOCCCl, OC(CCl)CCl, OCCO, OCc1ccccc1CBr"
CC(COCCOCC1CO1)OCCOCC1CO1,6,0.9559601461,True,"C=CCOCCCl, O=S(Cl)Cl, OCCO, OC(CCl)CCl, CC(=O)COCc1ccccc1"
c1ccc(COCCOCC2CO2)cc1,1,0.9976287063,True,"C[S+](C)(C)=O, O=CCOCCOCc1ccccc1"
C[C@@H](COCCOCC1CO1)OCCOCC1CO1,3,0.9865529289,True,"O=C(OO)c1cccc(Cl)c1, OC(CCl)CCl, C=CCBr, C[C@@H](COCCO)OCCO"
C/C(=N\O)c1ccc(OCC(=O)N2CCOCC2)cc1,1,0.9976287063,True,"O=C(CBr)N1CCOCC1, C/C(=N\O)c1ccc(O)cc1"
C=C(O)c1ccc(OCC(=O)N2CCCCC2)cc1,2,0.9940398539,True,"O=C(CBr)N1CCCCC1, C=C(O)c1ccccc1"
CO/N=C(\C)c1ccc(OCC(=O)N2CCCCC2)cc1,1,0.9976287063,True,"CO/N=C(\C)c1ccc(OCC(=O)O)cc1, C1CCNCC1"
