index,smiles,f_score,h_score,i_score,p_score
0,C=CC[SH]([O-])CC=C,0.13861968,0.0007006183000000001,0.8187042999999999,0.00080102764
1,C=CC[SH]([O-])CC=CC,0.14553897,0.0011513097000000001,0.83386827,0.001394634
2,C=CC[SH](C)CC=C,0.15164593,0.0066220770000000005,0.86423224,0.00012081450000000001
3,C#CC[SH]([O-])CC=C,0.073472045,6.566158000000001e-05,0.9130705,0.00036174503999999996
4,C=CCS(=O)CC=C,0.12886271,0.00017761722999999998,0.6027201999999999,0.0005223585000000001
5,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,0.25851199999999996,0.6524962999999999,0.7163822,0.18976289999999998
6,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@H](CN12)[C@@H]34,0.25851613,0.65220636,0.7157933,0.18995357000000002
7,C=C1CCC[C@@H]2[C@H]3CCC[N+]4([O-])CCC[C@@H](CN12)[C@@H]34,0.24520712,0.9277846999999999,0.7333081,0.18629509
8,O=C1CCCC2=C3CCC[N+]4([O-])CCC[C@@H](CN12)[C@@H]34,0.22686939,0.6133643999999999,0.7382176500000001,0.23286915
9,C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,0.889551,0.84670347,0.94739664,0.14355049
10,C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,0.8295427,0.86505234,0.9124238,0.04834645
11,CC/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,0.9227352,0.9633269,0.95018935,0.27341699999999997
12,C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,0.93513846,0.9616665999999999,0.95070875,0.24094622000000002
13,C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,0.7942239600000001,0.7469070600000001,0.9114272600000001,0.034144983000000004
14,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0.7942020999999999,0.7459638,0.9107134,0.03405119
15,C#C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,0.9817275,0.93940294,0.97340095,0.08061048400000001
16,CC1(C)[C@H]2O[C@H]2[C@H]2[C@](C)(O)[C@@H]3CC[C@@H]4[C@@H](O)[C@@]3(CC(O)[C@@]21O)C[C@@]4(C)O,0.6949320999999999,0.9833398999999999,0.95686984,0.7582707999999999
17,C=C(C)[C@@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0.7778255,0.8785138,0.5891753,0.7824738
18,C=C(C)C1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0.77782893,0.8785219,0.5891811,0.7818927999999999
19,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@]2(O)C3=O)O1,0.8089136,0.87326115,0.6342099,0.8357293
20,CC(C)(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O,0.9241341999999999,0.9962618999999999,0.99240667,0.04946839
21,CC(CC(=O)O)N(C)C(=O)Oc1cccc2c1OC(C)(C)C2,0.12743849000000002,0.00030638152,0.6449513,0.13622147
22,CC(C)N(C)C(=O)Oc1cccc2c1OC(C)(C)C2,0.16727972,0.016731912,0.5356369,0.013563527
23,CC(C)N(CCC(=O)O)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,0.3787526,0.012794072,0.6473943999999999,0.48414209999999996
24,CN(C(=O)Oc1cccc2c1OC(C)(C)C2)[SH](C)(=O)CCC(=O)O,0.37845752,0.0119398665,0.92928046,0.6474893700000001
25,CCN=C(O)ON=C(C)C(C)SC,0.12105232,0.002291276,0.6755947999999999,0.0004095581
26,CSC(C)C(C)=NOC(C)=O,0.13498534,0.0010248013,0.7302445,0.00033595812
27,CN=C(O)ON=C(C)[C@H](C)SC,0.11533773,0.0013587031,0.7076454999999999,0.00029532684
28,CN=C(O)ON=C(C)[C@@H](C)SC,0.11527756,0.0013305994000000002,0.7032784999999999,0.00029880364
29,CCS(=O)(=O)C(C)C(C)=NOC(O)=NC,0.2584139,0.005972973,0.8243286,0.0031703885000000003
30,CN=C(O)ON=C(C)[C@H](C)S(C)(=O)=O,0.2291424,0.004376274,0.8128484500000001,0.0024204578000000003
31,CCN=C(O)ON=C(C)SC,0.08494917,0.0008454021,0.72869396,0.00018508661
32,CN=C(O)ON=C(C)S,0.08407909,0.00059442077,0.87252283,0.00013686474999999998
33,CSC(C)=NOC(C)=O,0.10282005,0.00037628185,0.77250236,0.0001625731
34,CN=C(O)SN=C(C)SC,0.12901999,0.00025477895,0.7265374,0.00036877222
35,CN=C(O)ON=CC(C)(C)CCCC#N,0.24403502,0.036105976000000005,0.61500245,0.0016054331000000001
36,CCCC(C)(C)C=NOC(O)=NC,0.13828053,0.00416308,0.6588355,0.00080528745
37,CC(C)(C=NOC(=N)O)CCC#N,0.25621936,0.007764448,0.66495275,0.0014397339
38,CN=C(O)ON=CC(C)(C)CCCN,0.14555208,0.0037734949,0.71853876,0.006439771
39,CCN=C(O)ON=C(SC)C(=O)N(C)C,0.10882731,0.0010483944,0.74758357,0.0018797957
40,CN=C(O)ON=C(S)C(=O)N(C)C,0.11915747,0.0009735776699999999,0.9059322999999999,0.0014779733000000001
41,CN=C(O)ON=C(C(=O)N(C)C)[SH](C)C(=O)N(C)C,0.2294529,0.0033092455000000003,0.9289151999999999,0.011620791
42,CCCN=C(O)ON=C(SC)C(=O)N(C)C,0.12663023,0.0016377331,0.72387016,0.0026047605
43,CCN=C(O)ON=C1SC(C)(C)C(=O)N1C,0.1580758,0.0022930696,0.7909546,0.0032821014
44,CN1C(=O)C(C)(C)SC1=NOC(O)=NC(C)(C)C,0.23266731000000002,0.011683651000000001,0.7618229999999999,0.0030906410000000003
45,CCCN=C(O)ON=C1SC(C)(C)C(=O)N1C,0.18854588,0.00409845,0.7834584,0.0041744346000000005
46,CN=C(O)ON=C1[SH]=[SH]C(C)(C)C(=O)N1C,0.19534741,0.012896784000000001,0.98661137,0.007498846000000001
47,CCCSC(C)=NOC(O)=NC,0.0993878,0.0014853566,0.7083524999999999,0.00023865521999999999
48,CCN=C(O)ON=C(C)SCCC#N,0.18518904,0.0128157055,0.6717324,0.00055825536
49,CN=C(O)ON=C(C)SCCCCl,0.11178944,0.0060430810000000005,0.72138876,0.00025302026
50,CC(=O)ON=C(C)SCCC#N,0.19929631,0.0037959216,0.7134416,0.0005214109
51,CCSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,0.39651185,0.8900589,0.7986270999999999,0.0015434185000000001
52,CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)C,0.3292276,0.40224895,0.7429618,0.0019832887
53,CCN=C(O)ON=C(CSC)C(C)(C)C,0.17441545,0.010496434,0.6236653999999999,0.0007516307499999999
54,CN=C(O)ON=C(COC)C(C)(C)C,0.14020324,0.0034261034,0.66776556,0.0006584128
55,CN=C(O)ON=C(C)C(C)(C)C,0.13430128,0.0024852196,0.62794036,0.0002926376
56,C#CC(=NOC(O)=NC)C(C)(C)C,0.07324081,0.001059581,0.7457683700000001,9.324724e-05
57,CCN=C(O)Oc1ccccc1OC(CCl)OC,0.16653492,0.022292173000000002,0.38960013,0.006864444000000001
58,CN=C(O)Oc1ccccc1OC(C)OC,0.13001493,0.005940255,0.5215094,0.004618779
59,CN=C(O)Oc1ccccc1O[C@H](CCl)OC,0.15377556,0.013234779,0.5047166,0.0054111886
60,C=C(O)Oc1ccccc1OC(CCl)OC,0.17487608000000002,0.0060886130000000005,0.35613155,0.0064920695
61,CN(C(=O)c1ccccc1)c1cccc(C(O)=Nc2c(Br)cc(C(F)(F)C(F)(F)F)cc2C(F)(F)F)c1F,0.9303316500000001,0.9999981,0.7231101400000001,0.5890303
62,CN(C(=O)c1ccccc1)c1cccc(C(O)=Nc2c(Br)cc(C(F)(F)F)cc2C(F)(F)F)c1F,0.8754789,0.99989843,0.6226797,0.64793926
63,Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1N=C(O)c1cccc(N(C)C(=O)c2ccccc2)c1F,0.7803956999999999,0.999446,0.5649291,0.68759495
64,CN=C(O)c1cc(Cl)cc(C)c1N=C(O)c1cc(Cl)nn1-c1ncccc1Cl,0.48882157,0.97832125,0.090557,0.16995543
65,CN=C(O)c1cc(C#N)cc(C)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl,0.73266345,0.9980773,0.16049251,0.39699847
66,CN=C(O)c1cc(Br)cc(C)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl,0.5826565,0.9972690999999999,0.21107112,0.39895508
67,CN=C(O)c1cc(Cl)cc(C)c1N=C(O)c1cc(C(F)(F)F)nn1-c1ncccc1Cl,0.6460538,0.9801193500000001,0.23381951,0.20870207000000002
68,CN=C(O)c1cc(C#N)cc(C)c1N=C(O)c1cc(Cl)nn1-c1ncccc1Cl,0.622695,0.9936206,0.09432447000000001,0.31767505
69,Cc1cc(C#N)cc(C)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl,0.7201465,0.99793494,0.11611867000000001,0.15809987
70,CC(N=C(O)c1cc(Cl)cc(Cl)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl)C1CC1,0.7635136,0.9999515,0.47923368,0.4103651
71,CC(N=C(O)c1cc(Br)cc(Br)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl)C1CC1,0.82863885,0.99999285,0.53321594,0.68224514
72,C[C@H](N=C(O)c1cc(Cl)cc(Br)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl)C1CC1,0.8035068,0.99998176,0.50406915,0.56500536
73,Cc1cc(Cl)cc(C(O)=NC(C)C2CC2)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl,0.76695734,0.9999239400000001,0.271677,0.5729162
74,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(O)=NC(C)(C)C[SH](=O)=O,0.9862569999999999,0.9999969,0.9293431600000001,0.5860264
75,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(Br)c1C(O)=NC(C)(C)CS(C)(=O)=O,0.98332006,0.9999935600000001,0.7689518,0.5983432
76,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(O)=NC(C)(C)S(C)(=O)=O,0.9910743999999999,0.9999944,0.8462974400000001,0.59281135
77,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc([O-])c1C(O)=NC(C)(C)CS(C)(=O)=O,0.9859125,0.9998876999999999,0.7019966,0.649222
78,CCCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.8871671600000001,1.0,0.9419833,0.0068977596
79,CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.8513385,0.9999998999999999,0.9308607600000001,0.0037465843
80,CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.9213072,1.0,0.9577962,0.0036920442000000003
81,CCCCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.9093306999999999,1.0,0.94468796,0.009922516000000001
82,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.8195739999999999,0.99999976,0.92854804,0.0028725157
