target,number_of_steps,top_score,is_solved,reactants_smiles
C=CC[SH]([O-])CC=C,5,0.6467804044000001,False,"O=C1CCC(=O)N1Br, CC(=O)O,C=CC[SH]([O-])CCC(=O)OC"
C=CC[SH]([O-])CC=CC,6,0.6392934794,False,"CC(=O)O, CCC=O,COC(=O)CC[SH]([O-])CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1"
C=CC[SH](C)CC=C,5,0.6467804044000001,False,"O=C1CCC(=O)N1Br, CC(=O)O,C=CC[SH](C)CCC(=O)OC"
C#CC[SH]([O-])CC=C,4,0.6583333333,False,"O=C1CCC(=O)N1Br, CC(C)=O,C#CC[SH]([O-])CCCO"
C=CCS(=O)CC=C,1,0.9976287063,True,"C=CCSCC=C, O=C(OO)c1cccc(Cl)c1"
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,1,0.9976287063,True,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@H](CN12)[C@@H]34,5,0.6467804044000001,False,"O=S(Cl)Cl, CC(=O)O,COC(=O)[C@H]1CCCN2CCC[C@H]([C@H]3CCCC(=O)N3)[C@H]12"
C=C1CCC[C@@H]2[C@H]3CCC[N+]4([O-])CCC[C@@H](CN12)[C@@H]34,4,0.5,False,"CC(=O)O,C=C1CC(=O)C(C(=O)OC)[C@@H]2[C@H]3CCC[N+]4([O-])CCC[C@@H](CN12)[C@@H]34"
O=C1CCCC2=C3CCC[N+]4([O-])CCC[C@@H](CN12)[C@@H]34,6,0.7184601461,False,"O=S(Cl)Cl, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, BrCc1ccccc1,O=C1CCCC(=C2CCC[N+]3([O-])CCC[C@@H](CO)[C@@H]23)N1"
C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,2,0.9940398539,True,"C=CCC1=C(C)[C@@H](O)CC1=O, C/C(=C\[C@@H]1[C@@H](C(=O)O)C1(C)C)C(=O)O"
C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,3,0.9865529289,True,"CC(C)=C[C@@H]1[C@@H](C(=O)Cl)C1(C)C, C#CCC1=C(C)[C@@H](O)CC1=O"
CC/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,3,0.6698862623,False,"C/C(=C\[C@@H]1[C@@H](C(=O)O)C1(C)C)C(=O)O, COCc1ccccc1,CC/C=C\CC1=C(C)[C@@H](O[Si](C)(C)C(C)(C)C)CC1=O"
C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,3,0.6698862623,False,"C/C(=C\[C@@H]1[C@@H](C(=O)O)C1(C)C)C(=O)O, COCc1ccccc1,C=C/C=C\CC1=C(C)[C@@H](O[Si](C)(C)C(C)(C)C)CC1=O"
C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,1,0.9976287063,True,"CC(C)=C[C@@H]1[C@@H](C(=O)Cl)C1(C)C, C=CCC1=C(C)[C@@H](O)CC1=O"
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4,0.6583333333,False,"CCOC(=O)C=[N+]=[N-], CC(C)=CC=C(C)C,C=CCC1=C(C)C(O)CC1=C"
C#C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,7,0.7623712937,False,"C/C(=C\[C@@H]1[C@@H](C(=O)O)C1(C)C)C(=O)O, COCc1ccccc1, C#C[Si](C)(C)C, C#CCC1=C(C)[C@@H](O)CC1=O,C[SiH](C)C(C)(C)C"
CC1(C)[C@H]2O[C@H]2[C@H]2[C@](C)(O)[C@@H]3CC[C@@H]4[C@@H](O)[C@@]3(CC(O)[C@@]21O)C[C@@]4(C)O,7,0.7148712937,False,"CC(=O)Cl, CC(=O)Cl, CC(=O)Cl,CC(=O)OC1C[C@]23C[C@@](C)(O[Si](C)(C)C(C)(C)C)[C@H](CC[C@H]2[C@@](C)(O)[C@@H]2[C@@H]4O[C@@H]4C(C)(C)[C@@]12O)[C@H]3O"
C=C(C)[C@@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,5,0.4884470711,False,"BrCc1ccccc1,C=C(C)[C@@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(O)cc4[C@@H]2C3O[Si](C)(C)C(C)(C)C)O1"
C=C(C)C1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,7,0.5723712937000001,False,"CC(=O)CCl, CN(C)C=O, COCCl,C[Mg]Br, COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc(O)cc3O[C@@H]1CO2"
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@]2(O)C3=O)O1,5,0.6467804044000001,False,"CC(=O)OC(C)=O, BrCc1ccccc1,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(O)cc4[C@]2(O)C3=O)O1"
CC(C)(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O,6,0.6392934794,False,"BrCc1ccccc1, CC(=O)OC(C)=O,CC(C)(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C(CO[Si](C)(C)C(C)(C)C)=C(C(=O)[O-])CC[C@@]13C)[C@@H]2O"
CC(CC(=O)O)N(C)C(=O)Oc1cccc2c1OC(C)(C)C2,2,0.9940398539,True,"CC(=O)CC(=O)OCc1ccccc1, CNC(=O)Oc1cccc2c1OC(C)(C)C2"
